time,tl_id,chosen_action,pressure,upstream_sum,active_veh
236.0,J1,1,0,0,4
236.0,J2,0,0,0,4
236.0,J3,0,0,0,4
236.0,J4,0,0,0,4
241.0,J1,0,3,3,8
241.0,J2,1,2,2,8
241.0,J3,0,0,0,8
241.0,J4,0,1,1,8
246.0,J1,0,0,0,8
246.0,J2,1,1,1,8
246.0,J3,0,0,0,8
246.0,J4,0,0,0,8
251.0,J1,0,0,0,8
251.0,J2,3,1,1,8
251.0,J3,1,1,1,8
251.0,J4,0,0,0,8
256.0,J1,0,0,0,6
256.0,J2,3,0,0,6
256.0,J3,1,0,0,6
256.0,J4,0,0,0,6
261.0,J1,1,1,1,6
261.0,J2,0,1,1,6
261.0,J3,0,0,0,6
261.0,J4,1,1,1,6
266.0,J1,1,0,0,5
266.0,J2,0,0,0,5
266.0,J3,0,0,0,5
266.0,J4,1,0,0,5
271.0,J1,0,2,2,7
271.0,J2,3,1,1,7
271.0,J3,0,0,0,7
271.0,J4,0,0,0,7
276.0,J1,0,0,0,6
276.0,J2,3,0,0,6
276.0,J3,0,0,0,6
276.0,J4,0,0,0,6
281.0,J1,0,0,0,8
281.0,J2,1,2,2,8
281.0,J3,1,1,1,8
281.0,J4,0,1,1,8
286.0,J1,3,1,1,8
286.0,J2,1,0,0,8
286.0,J3,1,0,0,8
286.0,J4,0,0,0,8
291.0,J1,3,1,1,7
291.0,J2,0,0,0,7
291.0,J3,0,0,0,7
291.0,J4,0,0,0,7
296.0,J1,1,1,1,4
296.0,J2,0,0,0,4
296.0,J3,0,0,0,4
296.0,J4,0,0,0,4
301.0,J1,1,2,2,6
301.0,J2,0,0,0,6
301.0,J3,0,0,0,6
301.0,J4,1,1,1,6
306.0,J1,0,0,0,6
306.0,J2,0,0,0,6
306.0,J3,0,0,0,6
306.0,J4,1,0,0,6
311.0,J1,0,0,0,6
311.0,J2,0,0,0,6
311.0,J3,0,0,0,6
311.0,J4,0,0,0,6
316.0,J1,0,0,0,6
316.0,J2,0,0,0,6
316.0,J3,1,1,1,6
316.0,J4,0,0,0,6
321.0,J1,1,1,1,7
321.0,J2,1,2,2,7
321.0,J3,1,0,0,7
321.0,J4,0,1,1,7
326.0,J1,1,1,1,7
326.0,J2,1,0,0,7
326.0,J3,0,0,0,7
326.0,J4,0,0,0,7
331.0,J1,3,3,3,7
331.0,J2,0,0,0,7
331.0,J3,0,0,0,7
331.0,J4,0,0,0,7
336.0,J1,3,0,0,6
336.0,J2,0,0,0,6
336.0,J3,0,0,0,6
336.0,J4,0,0,0,6
341.0,J1,0,0,0,6
341.0,J2,0,0,0,6
341.0,J3,1,1,1,6
341.0,J4,1,1,1,6
346.0,J1,0,0,0,6
346.0,J2,0,0,0,6
346.0,J3,1,0,0,6
346.0,J4,1,0,0,6
351.0,J1,1,1,1,6
351.0,J2,0,0,0,6
351.0,J3,0,0,0,6
351.0,J4,0,0,0,6
356.0,J1,1,1,1,5
356.0,J2,0,0,0,5
356.0,J3,0,0,0,5
356.0,J4,0,0,0,5
361.0,J1,3,3,3,8
361.0,J2,1,2,2,8
361.0,J3,0,0,0,8
361.0,J4,0,1,1,8
366.0,J1,3,0,0,8
366.0,J2,1,0,0,8
366.0,J3,0,0,0,8
366.0,J4,0,0,0,8
371.0,J1,0,0,0,7
371.0,J2,0,0,0,7
371.0,J3,1,1,1,7
371.0,J4,0,0,0,7
376.0,J1,0,1,1,6
376.0,J2,0,0,0,6
376.0,J3,1,0,0,6
376.0,J4,0,0,0,6
381.0,J1,1,1,1,6
381.0,J2,0,0,0,6
381.0,J3,0,0,0,6
381.0,J4,1,1,1,6
386.0,J1,1,1,1,5
386.0,J2,0,0,0,5
386.0,J3,0,0,0,5
386.0,J4,1,0,0,5
391.0,J1,0,3,3,7
391.0,J2,1,0,0,7
391.0,J3,0,0,0,7
391.0,J4,0,0,0,7
396.0,J1,0,1,1,7
396.0,J2,1,0,0,7
396.0,J3,0,0,0,7
396.0,J4,0,0,0,7
401.0,J1,3,1,1,9
401.0,J2,0,1,1,9
401.0,J3,1,1,1,9
401.0,J4,0,1,1,9
406.0,J1,3,0,0,7
406.0,J2,0,0,0,7
406.0,J3,1,0,0,7
406.0,J4,0,0,0,7
411.0,J1,1,1,1,6
411.0,J2,0,0,0,6
411.0,J3,0,0,0,6
411.0,J4,0,0,0,6
416.0,J1,1,0,0,5
416.0,J2,0,0,0,5
416.0,J3,0,0,0,5
416.0,J4,0,0,0,5
421.0,J1,0,2,2,7
421.0,J2,0,0,0,7
421.0,J3,0,0,0,7
421.0,J4,1,1,1,7
426.0,J1,0,0,0,7
426.0,J2,0,0,0,7
426.0,J3,0,0,0,7
426.0,J4,1,0,0,7
431.0,J1,0,0,0,7
431.0,J2,0,0,0,7
431.0,J3,1,1,1,7
431.0,J4,0,0,0,7
436.0,J1,0,0,0,6
436.0,J2,0,0,0,6
436.0,J3,1,0,0,6
436.0,J4,0,0,0,6
441.0,J1,1,1,1,8
441.0,J2,1,2,2,8
441.0,J3,0,0,0,8
441.0,J4,0,1,1,8
446.0,J1,1,0,0,6
446.0,J2,1,0,0,6
446.0,J3,0,0,0,6
446.0,J4,0,0,0,6
451.0,J1,0,2,2,7
451.0,J2,3,1,1,7
451.0,J3,0,0,0,7
451.0,J4,0,0,0,7
456.0,J1,0,0,0,6
456.0,J2,3,0,0,6
456.0,J3,0,0,0,6
456.0,J4,0,0,0,6
461.0,J1,0,0,0,6
461.0,J2,0,1,1,6
461.0,J3,1,1,1,6
461.0,J4,1,1,1,6
466.0,J1,0,0,0,6
466.0,J2,0,0,0,6
466.0,J3,1,0,0,6
466.0,J4,1,0,0,6
471.0,J1,1,1,1,6
471.0,J2,0,0,0,6
471.0,J3,0,0,0,6
471.0,J4,0,0,0,6
476.0,J1,1,0,0,4
476.0,J2,0,0,0,4
476.0,J3,0,0,0,4
476.0,J4,0,0,0,4
481.0,J1,0,3,3,8
481.0,J2,1,2,2,8
481.0,J3,0,0,0,8
481.0,J4,0,1,1,8
486.0,J1,0,0,0,8
486.0,J2,1,1,1,8
486.0,J3,0,0,0,8
486.0,J4,0,0,0,8
491.0,J1,0,0,0,8
491.0,J2,3,1,1,8
491.0,J3,1,1,1,8
491.0,J4,0,0,0,8
496.0,J1,0,0,0,6
496.0,J2,3,0,0,6
496.0,J3,1,0,0,6
496.0,J4,0,0,0,6
501.0,J1,1,1,1,6
501.0,J2,0,1,1,6
